Region,Neighborhood,Patio Name,Google ID,Recommended,Special Classification,Bougie,More Bar Than Restaurant,Rooftop Patio,Small Patio,Covered Patio,Street Patio,View
Central,Capitol Hill,THE PATIO FINE THAI CUSINE,ChIJfXPiuSsVkFQR_tUuNT2pr2I,No,,No,No,No,No,No,Yes,No
Central,Capitol Hill,CAFE BARJOT,ChIJzeWs4S8VkFQRY0T4kFLacWw,Yes,Cafe,Yes,No,No,Yes,No,Yes,No
Central,Capitol Hill,CANON,ChIJTQLM3M5qkFQRSPbIugsT_H0,No,,Yes,Yes,No,No,No,No,No
Central,Capitol Hill,CAPTAIN BLACKS,ChIJt8BYATMVkFQRNfh0t4q8E7I,Yes,,No,Yes,Yes,No,No,No,Yes
Central,Capitol Hill,CHUNGEE’S DRINK N EAT,ChIJmWZ7s9JqkFQRPriVqE0V9mY,No,,No,No,No,Yes,No,Yes,No
Central,Capitol Hill,CLOUD ROOM,ChIJqeQtLsxqkFQROop_eGjF-g8,Yes,,Yes,Yes,Yes,No,No,No,Yes
Central,Capitol Hill,HARRY’S FINE FOOD,ChIJ326YLzAVkFQRIG2AIJa83-Q,No,,Yes,No,No,No,No,No,No
Central,Capitol Hill,LINDA'S,ChIJq_ZsMcxqkFQR03TQy4-KrBE,No,KURT KOBAIN,No,Yes,No,No,No,No,No
Central,Capitol Hill,MONSOON,ChIJM-7IeCoVkFQRl-EMfPzfBLU,No,,Yes,No,Yes,No,No,Yes,No
Central,Capitol Hill,ODDFELLOW'S CAFE + BAR,ChIJZ7BwWsxqkFQRW7n0QdDE1eg,No,,Yes,No,No,Yes,No,Yes,No
Central,Capitol Hill,ROANOAKE PARK PLACE,ChIJoZ1x0OAUkFQRNoolPYvRsIA,No,,No,Yes,No,No,No,No,No
Central,Capitol Hill,ST. JOHN'S,ChIJff9vhMtqkFQRJVtZm4Yi6Gk,No,,Yes,No,No,Yes,No,No,No
Central,Capitol Hill,SUMMIT PUB,ChIJy3Ct1S8VkFQRP3Up0nXmGzg,No,,No,Yes,No,Yes,No,Yes,No
Central,Capitol Hill,TALLULAHS,ChIJl6zTgyoVkFQR868GG-AKDXM,No,,Yes,No,No,No,No,No,No
Central,Capitol Hill,TERRA PLATA,ChIJl5bQVy8UkFQRYrkP5JjaAec,No,,Yes,No,Yes,No,No,No,Yes
Central,Capitol Hill,BAR VACILANDO,ChIJhSXzfCsVkFQRz72dnQ993A0,Yes,,Yes,No,No,Yes,Yes,No,No
Central,Central District,MESKEL RESTAURANT,ChIJhyQtd9xqkFQR0EtTi-w5as0,No,,No,No,No,No,No,No,No
Central,Central District,TWILIGHT EXIT,ChIJq5DYhdtqkFQRKuNQOa__yQY,No,,No,Yes,No,No,No,No,No
Central,First Hill,DUNBAR ROOM AT HOTEL SORRENTO,ChIJAQDQFbZqkFQRVpk2-79SA1I,No,,Yes,No,No,No,No,No,No
Central,Leschi,THAT’S AMORE,ChIJhQ_fwvNqkFQR_RmnSgc2oxc,No,,No,No,No,No,No,No,No
Central,Madison Valley,THE INDIE,ChIJw8J-I7QUkFQRUwk7-2Fl4oo,Yes,,Yes,No,No,Yes,No,Yes,No
Central,Madrona,ST. CLOUD'S,ChIJmxpHaydrkFQRsgmredYPXS8,No,,Yes,No,No,No,No,No,No
